Default_ID,Loan_ID,Customer_ID,Default_Date,Default_Amount,Default_Reason,Recovery_Status,Recovery_Amount,Legal_Action
D002635,L037828,C037828,2024-06-11,17007,Job Loss,Partial,0,No
D002636,L038651,C038651,2021-09-03,80539,Job Loss,Partial,41121,No
D002637,L019270,C019270,2022-01-24,84691,Business Failure,Full,18709,Yes
D002638,L010155,C010155,2023-04-19,6884,Other,Full,9718,Yes
D002639,L086281,C086281,2024-12-26,53628,Other,None,12772,Yes
D002640,L068135,C068135,2021-07-11,55664,Medical Emergency,Partial,0,Yes
D002641,L079080,C079080,2024-07-07,85625,Job Loss,Partial,0,Yes
D002642,L069595,C069595,2021-01-10,90607,Business Failure,None,5129,No
D002643,L072327,C072327,2022-03-14,62055,Medical Emergency,Partial,0,Yes
D002644,L016458,C016458,2023-03-07,10904,Business Failure,Partial,6503,No
D002645,L061662,C061662,2024-11-24,7823,Business Failure,None,19988,No
D002646,L025734,C025734,2024-10-03,38693,Job Loss,None,28525,No
D002647,L046221,C046221,2021-09-03,97249,Business Failure,Full,0,Yes
D002648,L050334,C050334,2024-02-15,17652,Business Failure,Full,0,No
D002649,L066904,C066904,2023-06-23,80182,Job Loss,None,0,Yes
D002650,L023848,C023848,2021-08-23,52580,Other,None,0,No
D002651,L067630,C067630,2023-11-17,34957,Other,Partial,0,Yes
D002652,L025992,C025992,2022-03-05,73040,Job Loss,None,0,Yes
D002653,L047849,C047849,2023-11-07,58392,Business Failure,Full,41288,Yes
D002654,L076491,C076491,2023-03-13,81721,Job Loss,Partial,35736,Yes
D002655,L031528,C031528,2023-10-27,85434,Business Failure,None,19190,Yes
D002656,L026433,C026433,2022-01-29,93251,Medical Emergency,Partial,0,No
D002657,L057893,C057893,2023-02-17,95543,Job Loss,Partial,0,Yes
D002658,L010926,C010926,2022-04-25,84185,Business Failure,Partial,15338,Yes
D002659,L074008,C074008,2023-01-01,36838,Medical Emergency,None,0,Yes
D002660,L049873,C049873,2023-09-19,5046,Medical Emergency,Full,1103,No
D002661,L079859,C079859,2023-07-24,45127,Other,Partial,0,Yes
D002662,L015010,C015010,2023-11-14,93257,Medical Emergency,Full,48965,No
D002663,L020726,C020726,2021-05-08,30790,Business Failure,Partial,31201,Yes
D002664,L024551,C024551,2021-12-06,97899,Other,Partial,16793,Yes
D002665,L066548,C066548,2021-10-06,83686,Job Loss,None,0,No
D002666,L008985,C008985,2021-01-15,67112,Other,None,46395,Yes
D002667,L066541,C066541,2024-10-02,64024,Business Failure,Partial,49696,Yes
D002668,L088093,C088093,2024-08-06,36839,Job Loss,Partial,0,Yes
D002669,L025375,C025375,2022-08-14,85649,Medical Emergency,Full,21744,Yes
D002670,L071406,C071406,2023-11-25,53148,Medical Emergency,Partial,11020,Yes
D002671,L009318,C009318,2024-12-29,96682,Business Failure,Full,0,No
D002672,L057932,C057932,2022-07-23,39782,Other,None,0,Yes
D002673,L061921,C061921,2022-05-10,5195,Medical Emergency,Partial,0,Yes
D002674,L005598,C005598,2021-09-24,87789,Business Failure,Full,1657,No
D002675,L016651,C016651,2023-02-10,9045,Business Failure,Full,41695,Yes
D002676,L075399,C075399,2022-09-03,26595,Other,Full,20684,Yes
D002677,L018478,C018478,2023-04-02,30300,Job Loss,Partial,0,Yes
D002678,L030484,C030484,2021-01-16,72051,Medical Emergency,Full,0,No
D002679,L028029,C028029,2024-08-18,24415,Job Loss,Partial,0,No
D002680,L088942,C088942,2021-08-26,54370,Job Loss,Full,20797,Yes
D002681,L088632,C088632,2022-06-26,20974,Other,Partial,1512,No
D002682,L040364,C040364,2022-03-15,65601,Medical Emergency,Full,0,No
D002683,L028517,C028517,2022-06-03,78197,Business Failure,Partial,0,Yes
D002684,L057126,C057126,2023-05-20,35856,Job Loss,Partial,1755,Yes
D002685,L047869,C047869,2024-09-07,25601,Medical Emergency,Partial,0,Yes
D002686,L046345,C046345,2022-08-10,25872,Job Loss,None,16386,Yes
D002687,L055636,C055636,2024-06-23,6334,Business Failure,Full,0,No
D002688,L007012,C007012,2021-10-06,86555,Other,Full,0,Yes
D002689,L073752,C073752,2022-10-08,27813,Other,None,14869,No
D002690,L046117,C046117,2022-03-14,98457,Other,None,0,No
D002691,L046658,C046658,2023-10-07,69439,Business Failure,None,20398,Yes
D002692,L006644,C006644,2021-01-05,62477,Medical Emergency,Partial,25230,No
D002693,L029007,C029007,2024-12-13,61943,Medical Emergency,None,38832,No
D002694,L029801,C029801,2021-12-14,83456,Other,Full,0,Yes
D002695,L057928,C057928,2021-03-15,87023,Other,Partial,43552,No
D002696,L036233,C036233,2021-03-13,96226,Job Loss,Partial,38093,No
D002697,L046663,C046663,2021-03-30,62692,Medical Emergency,Full,0,Yes
D002698,L049331,C049331,2023-05-03,6236,Other,None,0,Yes
D002699,L018513,C018513,2024-11-02,45694,Other,None,0,Yes
D002700,L004543,C004543,2024-09-18,87304,Medical Emergency,None,0,Yes
D002701,L001725,C001725,2024-12-30,77533,Business Failure,Partial,0,Yes
D002702,L071012,C071012,2024-12-20,53940,Medical Emergency,Full,15076,Yes
D002703,L081444,C081444,2021-09-30,36429,Business Failure,None,0,No
D002704,L040407,C040407,2021-11-24,88655,Medical Emergency,Full,42161,Yes
D002705,L035004,C035004,2023-03-10,9644,Medical Emergency,Partial,44738,No
D002706,L000156,C000156,2022-01-01,91441,Job Loss,Full,0,Yes
D002707,L033215,C033215,2021-08-26,22261,Medical Emergency,None,0,Yes
D002708,L030608,C030608,2022-03-03,62647,Medical Emergency,None,24575,Yes
D002709,L073528,C073528,2023-09-12,95406,Business Failure,Full,0,Yes
D002710,L055486,C055486,2021-10-20,52127,Medical Emergency,None,0,Yes
D002711,L081318,C081318,2021-05-30,51908,Business Failure,Partial,42050,No
D002712,L080014,C080014,2021-06-30,30554,Medical Emergency,Full,0,Yes
D002713,L021328,C021328,2024-12-30,7742,Job Loss,None,39030,Yes
D002714,L022241,C022241,2023-03-31,43855,Medical Emergency,Partial,14341,Yes
D002715,L036727,C036727,2021-04-07,43106,Medical Emergency,None,36314,No
D002716,L021179,C021179,2023-07-19,65139,Job Loss,None,23374,Yes
D002717,L051343,C051343,2021-07-21,38121,Business Failure,Full,34559,No
D002718,L019929,C019929,2024-10-13,61068,Job Loss,Full,0,Yes
D002719,L080528,C080528,2023-09-16,42978,Job Loss,Partial,47207,No
D002720,L089247,C089247,2022-12-10,85861,Business Failure,Full,23348,Yes
D002721,L060407,C060407,2023-05-31,40060,Business Failure,Full,0,Yes
D002722,L059188,C059188,2024-01-21,95807,Job Loss,None,7004,No
D002723,L069841,C069841,2021-09-22,35125,Business Failure,Full,0,Yes
D002724,L066301,C066301,2022-04-18,32946,Medical Emergency,Partial,0,Yes
D002725,L087239,C087239,2024-01-06,41694,Business Failure,Full,0,No
D002726,L000355,C000355,2021-05-10,74263,Business Failure,Full,0,No
D002727,L086947,C086947,2024-03-27,78417,Other,Partial,29835,No
D002728,L006214,C006214,2022-01-17,10068,Medical Emergency,None,0,No
D002729,L066785,C066785,2022-07-12,59467,Business Failure,Partial,34508,Yes
D002730,L002942,C002942,2024-02-25,62527,Other,None,0,No
D002731,L043748,C043748,2022-09-24,62126,Medical Emergency,Full,29172,No
D002732,L022894,C022894,2023-12-18,10285,Medical Emergency,Partial,28264,Yes
D002733,L045505,C045505,2022-09-04,88827,Business Failure,Partial,0,Yes
D002734,L084667,C084667,2024-08-24,95746,Job Loss,None,18390,No
D002735,L084214,C084214,2024-06-17,14799,Business Failure,None,38438,Yes
D002736,L022849,C022849,2022-06-10,52662,Business Failure,Full,0,Yes
D002737,L054918,C054918,2021-05-19,22191,Other,Full,0,Yes
D002738,L052106,C052106,2023-12-22,55583,Business Failure,Full,17710,No
D002739,L049661,C049661,2024-03-10,86812,Business Failure,Full,34665,Yes
D002740,L033583,C033583,2023-07-05,95535,Job Loss,Partial,0,No
D002741,L080156,C080156,2022-03-27,23084,Medical Emergency,None,5993,Yes
D002742,L045258,C045258,2021-02-03,40732,Other,Partial,7087,No
D002743,L046790,C046790,2024-01-04,39560,Business Failure,Partial,49738,No
D002744,L010757,C010757,2023-04-18,88903,Business Failure,Partial,0,Yes
D002745,L051665,C051665,2022-09-18,19905,Business Failure,Full,0,No
D002746,L026169,C026169,2021-02-03,90778,Medical Emergency,None,0,Yes
D002747,L044500,C044500,2022-10-02,67289,Medical Emergency,None,0,Yes
D002748,L086812,C086812,2023-09-01,30858,Business Failure,Partial,0,No
D002749,L000593,C000593,2022-01-15,60200,Job Loss,Partial,0,Yes
D002750,L003268,C003268,2023-09-07,70532,Other,Full,0,Yes
D002751,L073025,C073025,2021-01-27,44502,Other,None,12854,Yes
D002752,L014781,C014781,2022-03-12,85382,Business Failure,Full,0,No
D002753,L047125,C047125,2024-11-22,76317,Medical Emergency,None,0,No
D002754,L084466,C084466,2022-02-12,81304,Other,None,0,Yes
D002755,L087780,C087780,2022-11-15,30295,Other,Partial,0,Yes
D002756,L052946,C052946,2022-02-16,13076,Other,Full,28780,No
D002757,L041490,C041490,2024-08-20,83324,Other,Partial,0,No
D002758,L062669,C062669,2023-12-18,73563,Other,Full,0,Yes
D002759,L066742,C066742,2024-08-18,65897,Business Failure,Partial,9222,Yes
D002760,L081599,C081599,2023-08-16,29553,Other,None,0,No
D002761,L018322,C018322,2022-03-12,29220,Medical Emergency,None,0,No
D002762,L040353,C040353,2022-02-11,34940,Medical Emergency,Full,0,No
D002763,L013176,C013176,2024-09-04,50261,Business Failure,Partial,8640,Yes
D002764,L027973,C027973,2024-02-14,87202,Medical Emergency,None,0,No
D002765,L043439,C043439,2022-10-24,66321,Business Failure,Partial,43687,No
D002766,L044146,C044146,2022-08-15,19227,Job Loss,Full,0,Yes
D002767,L024246,C024246,2024-11-12,7091,Medical Emergency,Partial,0,Yes
D002768,L004335,C004335,2021-12-24,87859,Medical Emergency,Partial,29398,No
D002769,L066134,C066134,2021-08-24,51758,Other,Partial,0,No
D002770,L082009,C082009,2022-11-28,45383,Medical Emergency,None,11079,Yes
D002771,L067315,C067315,2022-09-13,73769,Business Failure,Full,9221,No
D002772,L070740,C070740,2022-06-12,18815,Medical Emergency,Partial,9427,Yes
D002773,L008288,C008288,2022-04-10,92916,Other,None,0,Yes
D002774,L030036,C030036,2024-04-28,43503,Medical Emergency,Full,0,Yes
D002775,L065773,C065773,2021-07-24,91415,Other,None,0,No
D002776,L084196,C084196,2022-03-26,67188,Other,Full,35459,No
D002777,L045265,C045265,2024-06-03,71595,Medical Emergency,Full,0,No
D002778,L037738,C037738,2023-07-15,19514,Job Loss,Partial,2893,Yes
D002779,L021736,C021736,2022-01-19,9735,Medical Emergency,Full,0,Yes
D002780,L004105,C004105,2022-03-07,75282,Business Failure,Partial,6767,No
D002781,L081470,C081470,2022-06-05,54585,Medical Emergency,Full,21003,No
D002782,L023188,C023188,2021-06-09,46062,Medical Emergency,None,20785,Yes
D002783,L003102,C003102,2023-07-20,38233,Job Loss,Partial,0,Yes
D002784,L005901,C005901,2023-01-23,22845,Business Failure,None,0,No
D002785,L031985,C031985,2023-04-01,55367,Business Failure,Full,0,Yes
D002786,L046189,C046189,2022-09-04,19557,Medical Emergency,Partial,0,No
D002787,L008971,C008971,2022-07-16,10280,Other,Full,0,No
D002788,L021140,C021140,2024-07-09,99961,Business Failure,Full,0,Yes
D002789,L064236,C064236,2023-04-25,53767,Job Loss,Partial,0,No
D002790,L087436,C087436,2022-07-11,92240,Other,Partial,20291,Yes
D002791,L013396,C013396,2021-01-04,9727,Business Failure,None,5673,Yes
D002792,L055181,C055181,2023-02-18,23442,Medical Emergency,Full,0,Yes
D002793,L047115,C047115,2023-10-20,26326,Job Loss,Full,24495,Yes
D002794,L042026,C042026,2021-10-23,9131,Other,None,18156,No
D002795,L027539,C027539,2024-06-13,78048,Medical Emergency,None,5712,No
D002796,L089818,C089818,2021-11-04,87064,Job Loss,Partial,45013,Yes
D002797,L003882,C003882,2023-11-11,64984,Business Failure,None,0,No
D002798,L018968,C018968,2022-04-27,12128,Job Loss,Partial,0,No
D002799,L035290,C035290,2021-09-18,43664,Business Failure,Full,0,Yes
D002800,L080401,C080401,2024-05-28,20605,Other,Full,0,No
D002801,L030962,C030962,2024-07-22,85643,Medical Emergency,Full,23000,No
D002802,L075047,C075047,2024-02-19,52751,Other,Partial,1964,No
D002803,L010591,C010591,2022-12-13,81742,Business Failure,None,0,No
D002804,L003587,C003587,2024-01-03,60847,Medical Emergency,None,30831,No
D002805,L071755,C071755,2024-02-29,49321,Medical Emergency,None,5553,No
D002806,L048335,C048335,2021-12-15,43953,Job Loss,Full,46490,Yes
D002807,L083999,C083999,2024-02-11,69405,Job Loss,None,0,Yes
D002808,L072873,C072873,2021-03-03,42918,Business Failure,Partial,0,Yes
D002809,L011196,C011196,2024-10-08,70601,Medical Emergency,None,47877,No
D002810,L009927,C009927,2022-04-08,82790,Other,Partial,0,Yes
D002811,L006994,C006994,2024-11-16,72701,Other,Full,0,No
D002812,L086901,C086901,2021-09-30,39224,Job Loss,Full,15398,No
D002813,L059592,C059592,2023-11-13,14948,Medical Emergency,Partial,0,Yes
D002814,L030725,C030725,2024-11-06,35203,Medical Emergency,Full,20269,Yes
D002815,L053841,C053841,2024-10-23,23181,Medical Emergency,Full,29740,Yes
D002816,L066231,C066231,2024-06-06,47360,Other,None,0,No
D002817,L006458,C006458,2022-05-11,6224,Job Loss,None,47213,No
D002818,L035855,C035855,2024-05-03,99273,Other,Partial,0,No
D002819,L000774,C000774,2021-08-26,57031,Job Loss,Partial,28751,Yes
D002820,L029976,C029976,2021-06-14,7873,Business Failure,None,48863,No
D002821,L020395,C020395,2024-08-30,82244,Medical Emergency,Full,0,Yes
D002822,L004595,C004595,2022-12-08,95416,Business Failure,None,0,No
D002823,L079622,C079622,2021-04-20,22816,Job Loss,Full,5247,No
D002824,L059810,C059810,2024-04-17,99140,Business Failure,Partial,0,No
D002825,L065046,C065046,2023-03-03,63782,Other,None,0,No
D002826,L089371,C089371,2024-11-28,37508,Other,Partial,0,Yes
D002827,L075770,C075770,2024-05-26,55037,Medical Emergency,Full,20109,No
D002828,L057472,C057472,2021-08-07,80387,Job Loss,Full,22349,Yes
D002829,L081190,C081190,2021-08-26,78632,Job Loss,Partial,0,Yes
D002830,L075342,C075342,2023-02-19,51313,Medical Emergency,None,14733,Yes
D002831,L029480,C029480,2022-05-24,22310,Other,Partial,0,No
D002832,L013043,C013043,2022-12-22,99928,Job Loss,None,0,Yes
D002833,L033346,C033346,2022-02-09,44987,Business Failure,None,23542,No
D002834,L066675,C066675,2024-03-18,67095,Business Failure,None,5990,No
D002835,L086311,C086311,2024-05-11,17186,Other,Full,0,No
D002836,L084280,C084280,2024-07-25,72597,Job Loss,Partial,0,No
D002837,L025757,C025757,2023-03-15,7640,Medical Emergency,None,0,No
D002838,L083425,C083425,2024-02-04,85421,Business Failure,Full,0,No
D002839,L024211,C024211,2023-05-23,16866,Business Failure,Full,29800,No
D002840,L066733,C066733,2022-07-01,16642,Medical Emergency,Partial,0,Yes
D002841,L046204,C046204,2021-09-20,69705,Job Loss,None,35517,No
D002842,L017088,C017088,2024-07-27,54647,Medical Emergency,Full,7364,Yes
D002843,L065091,C065091,2024-04-05,42570,Other,None,0,No
D002844,L070798,C070798,2024-06-21,71608,Medical Emergency,Full,0,No
D002845,L046087,C046087,2022-05-03,8445,Medical Emergency,Full,0,No
D002846,L016465,C016465,2022-12-18,16087,Job Loss,Full,44393,Yes
D002847,L088582,C088582,2022-11-05,5452,Business Failure,None,0,Yes
D002848,L034303,C034303,2024-01-18,73557,Business Failure,Partial,24392,Yes
D002849,L072047,C072047,2021-03-26,95966,Business Failure,None,0,No
D002850,L007274,C007274,2023-10-31,50705,Business Failure,None,16537,No
D002851,L083733,C083733,2021-09-08,78738,Job Loss,Full,22387,No
D002852,L016769,C016769,2023-01-26,83201,Other,Full,0,No
D002853,L002904,C002904,2023-10-27,48754,Business Failure,None,10187,Yes
D002854,L051469,C051469,2022-10-04,16103,Other,Partial,0,No
D002855,L061342,C061342,2021-02-07,77482,Medical Emergency,Partial,48344,Yes
D002856,L040581,C040581,2023-06-27,39414,Business Failure,Full,11852,No
D002857,L078083,C078083,2024-01-19,63132,Business Failure,Partial,18231,Yes
D002858,L075055,C075055,2022-01-12,67690,Medical Emergency,Full,0,No
D002859,L003722,C003722,2024-05-02,36904,Medical Emergency,Partial,0,No
D002860,L028426,C028426,2022-10-04,8560,Medical Emergency,Partial,0,No
D002861,L020731,C020731,2024-08-23,23771,Job Loss,Partial,0,No
D002862,L020844,C020844,2024-10-20,28660,Other,None,45664,Yes
D002863,L009392,C009392,2024-02-10,77074,Business Failure,None,19782,No
D002864,L078340,C078340,2022-09-17,24559,Business Failure,None,0,Yes
D002865,L009631,C009631,2023-10-30,23380,Medical Emergency,None,6083,Yes
D002866,L008299,C008299,2022-03-04,34659,Medical Emergency,None,0,No
D002867,L087648,C087648,2024-11-05,90015,Medical Emergency,Full,44666,Yes
D002868,L018435,C018435,2023-09-06,31764,Job Loss,None,0,No
D002869,L082929,C082929,2021-11-19,64602,Business Failure,Partial,0,Yes
D002870,L010986,C010986,2022-05-22,30467,Other,None,0,Yes
D002871,L022920,C022920,2022-09-15,36527,Business Failure,Partial,14167,No
D002872,L054156,C054156,2022-04-03,60286,Medical Emergency,None,14038,Yes
D002873,L010947,C010947,2024-03-09,9102,Job Loss,Partial,0,No
D002874,L013324,C013324,2022-01-01,89071,Medical Emergency,Full,25482,Yes
D002875,L022051,C022051,2021-04-26,52824,Business Failure,None,5603,Yes
D002876,L055801,C055801,2024-09-09,67700,Job Loss,None,0,Yes
D002877,L085957,C085957,2022-04-15,63923,Business Failure,Partial,11299,Yes
D002878,L015794,C015794,2023-01-31,50455,Other,None,10057,Yes
D002879,L046235,C046235,2021-01-06,25308,Other,Partial,0,No
D002880,L088413,C088413,2023-02-03,82222,Other,None,24623,Yes
D002881,L024492,C024492,2022-03-27,21447,Business Failure,Full,0,No
D002882,L017340,C017340,2024-06-04,91346,Business Failure,None,26625,No
D002883,L079257,C079257,2021-07-10,52923,Medical Emergency,None,23056,Yes
D002884,L060658,C060658,2022-05-30,96706,Other,None,10980,No
D002885,L083616,C083616,2024-05-14,16466,Job Loss,Full,0,No
D002886,L020658,C020658,2022-12-13,78785,Medical Emergency,None,34325,No
D002887,L073763,C073763,2023-07-13,94243,Other,Partial,46431,Yes
D002888,L020905,C020905,2024-02-06,53366,Business Failure,Partial,0,Yes
D002889,L034202,C034202,2023-10-24,27303,Medical Emergency,Full,27956,Yes
D002890,L033094,C033094,2023-07-26,59665,Medical Emergency,Partial,28673,Yes
D002891,L009398,C009398,2021-10-12,45568,Business Failure,Full,0,Yes
D002892,L032252,C032252,2023-03-02,33210,Business Failure,None,6342,No
D002893,L067117,C067117,2024-07-22,19869,Medical Emergency,None,0,Yes
D002894,L034951,C034951,2024-11-18,97632,Business Failure,Full,0,Yes
D002895,L016990,C016990,2024-11-18,80334,Job Loss,Partial,0,No
D002896,L040277,C040277,2023-03-24,97972,Job Loss,None,10548,No
D002897,L049073,C049073,2024-03-16,49992,Job Loss,Full,15970,No
D002898,L034493,C034493,2024-03-21,61391,Medical Emergency,Full,0,No
D002899,L054260,C054260,2022-03-02,57511,Medical Emergency,None,0,Yes
D002900,L040375,C040375,2024-08-08,84677,Medical Emergency,Partial,0,Yes
D002901,L056022,C056022,2022-10-14,75482,Other,Partial,15548,Yes
D002902,L039674,C039674,2021-03-23,35160,Other,Full,0,No
D002903,L032373,C032373,2024-01-29,69591,Medical Emergency,None,0,No
D002904,L046861,C046861,2024-06-09,71536,Other,None,15738,No
D002905,L027909,C027909,2022-12-13,15649,Other,Full,14145,No
D002906,L077425,C077425,2021-09-23,72620,Business Failure,Partial,23892,Yes
D002907,L041419,C041419,2022-06-05,41786,Job Loss,Partial,31004,No
D002908,L003584,C003584,2021-09-29,16537,Job Loss,None,0,No
D002909,L037064,C037064,2022-10-28,87536,Other,None,0,No
D002910,L024735,C024735,2021-01-25,78195,Medical Emergency,None,0,No
D002911,L031869,C031869,2023-02-17,32860,Job Loss,None,29776,No
D002912,L025923,C025923,2024-01-10,90227,Job Loss,Full,36608,Yes
D002913,L003316,C003316,2024-10-04,86670,Job Loss,Full,0,No
D002914,L033440,C033440,2023-10-21,48682,Medical Emergency,None,41216,Yes
D002915,L088380,C088380,2022-01-12,48110,Business Failure,None,0,Yes
D002916,L019585,C019585,2024-02-11,78514,Job Loss,Full,4126,Yes
D002917,L019692,C019692,2022-07-11,7850,Medical Emergency,Full,24784,No
D002918,L012139,C012139,2021-07-18,99342,Business Failure,Full,10792,No
D002919,L028945,C028945,2024-05-20,8061,Job Loss,Partial,0,No
D002920,L088418,C088418,2022-05-07,30476,Job Loss,Partial,40882,Yes
D002921,L088063,C088063,2022-11-26,13848,Medical Emergency,Full,0,Yes
D002922,L035259,C035259,2023-11-09,31158,Job Loss,Full,0,Yes
D002923,L004061,C004061,2023-04-18,85595,Other,None,0,Yes
D002924,L081422,C081422,2024-02-25,36950,Other,Partial,42480,Yes
D002925,L088186,C088186,2022-05-11,66216,Medical Emergency,Partial,15028,No
D002926,L042092,C042092,2023-10-08,55947,Other,None,28291,Yes
D002927,L083101,C083101,2024-04-11,53853,Business Failure,Full,0,Yes
D002928,L068571,C068571,2021-11-11,75450,Job Loss,Full,14102,Yes
D002929,L032632,C032632,2022-12-04,77396,Medical Emergency,None,0,Yes
D002930,L018271,C018271,2021-01-09,42120,Job Loss,None,0,Yes
D002931,L042847,C042847,2024-02-20,18208,Medical Emergency,Partial,41641,No
D002932,L004787,C004787,2022-05-15,10491,Business Failure,Full,32743,Yes
D002933,L058002,C058002,2024-11-14,98886,Job Loss,Partial,0,Yes
D002934,L077802,C077802,2021-03-05,16398,Other,None,4029,No
D002935,L018306,C018306,2024-12-24,32556,Other,Partial,0,Yes
D002936,L083008,C083008,2024-08-25,73596,Medical Emergency,Full,4617,No
D002937,L080386,C080386,2024-03-20,67259,Business Failure,Full,0,Yes
D002938,L064631,C064631,2021-02-10,92438,Medical Emergency,Full,10063,No
D002939,L025469,C025469,2022-05-09,93104,Job Loss,Partial,0,Yes
D002940,L021527,C021527,2023-01-05,35150,Job Loss,Full,9885,Yes
D002941,L053831,C053831,2021-01-10,79541,Business Failure,None,19686,No
D002942,L014697,C014697,2021-08-16,27065,Job Loss,Partial,40793,No
D002943,L012768,C012768,2024-10-23,69836,Medical Emergency,Partial,0,No
D002944,L045745,C045745,2022-11-21,20347,Other,Full,0,Yes
D002945,L037899,C037899,2024-12-23,69177,Job Loss,Partial,0,Yes
D002946,L029310,C029310,2022-08-13,89422,Medical Emergency,None,0,No
D002947,L016866,C016866,2024-09-14,15060,Medical Emergency,Partial,0,Yes
D002948,L058260,C058260,2021-09-13,33578,Medical Emergency,Partial,0,No
D002949,L001670,C001670,2024-07-20,34862,Other,Partial,0,Yes
D002950,L035055,C035055,2021-01-18,37832,Business Failure,Full,0,No
D002951,L028048,C028048,2022-08-12,53628,Business Failure,Full,47348,Yes
D002952,L010061,C010061,2021-11-27,23691,Medical Emergency,Partial,0,Yes
D002953,L000510,C000510,2023-11-03,39386,Business Failure,Partial,39526,No
D002954,L078237,C078237,2024-02-24,39896,Medical Emergency,Full,3577,No
D002955,L010383,C010383,2022-02-23,43172,Business Failure,Partial,43211,Yes
D002956,L088740,C088740,2021-04-08,14383,Job Loss,None,24576,No
D002957,L053441,C053441,2024-07-03,74709,Job Loss,Full,0,Yes
D002958,L016773,C016773,2023-06-17,69580,Other,Full,0,No
D002959,L067920,C067920,2021-08-22,72006,Other,Full,0,No
D002960,L073052,C073052,2021-01-07,71311,Medical Emergency,None,0,No
D002961,L071821,C071821,2023-04-06,79717,Medical Emergency,Full,0,No
D002962,L046335,C046335,2021-01-30,19323,Job Loss,Full,36649,Yes
D002963,L032737,C032737,2024-07-31,33275,Business Failure,Full,29029,No
D002964,L048307,C048307,2024-03-13,55586,Business Failure,None,0,Yes
D002965,L049269,C049269,2021-07-22,96230,Medical Emergency,Partial,10302,Yes
D002966,L030790,C030790,2023-07-29,98990,Business Failure,None,3080,No
D002967,L064794,C064794,2021-03-04,39075,Job Loss,Full,0,Yes
D002968,L044090,C044090,2023-07-28,25196,Job Loss,Full,44802,Yes
D002969,L061921,C061921,2022-05-11,57004,Business Failure,None,9623,No
D002970,L023940,C023940,2023-08-16,46848,Other,None,0,Yes
D002971,L011146,C011146,2021-02-02,77211,Business Failure,None,0,Yes
D002972,L025681,C025681,2021-02-04,47640,Job Loss,None,23134,No
D002973,L045933,C045933,2021-10-03,14080,Medical Emergency,Partial,20659,Yes
D002974,L039820,C039820,2024-08-30,51918,Job Loss,Partial,8948,Yes
D002975,L017998,C017998,2023-05-02,74291,Other,Partial,0,Yes
D002976,L012886,C012886,2023-11-11,99313,Business Failure,Full,35831,No
D002977,L036504,C036504,2024-03-03,68384,Medical Emergency,None,0,No
D002978,L087342,C087342,2024-08-06,83706,Other,Partial,20905,Yes
D002979,L063751,C063751,2021-06-05,45076,Other,None,38600,No
D002980,L033894,C033894,2023-08-16,94301,Medical Emergency,Full,21349,No
D002981,L042149,C042149,2023-07-29,64879,Job Loss,None,0,Yes
D002982,L035769,C035769,2024-08-24,82536,Other,Full,25395,No
D002983,L002975,C002975,2023-03-14,34175,Other,Full,37739,No
D002984,L021922,C021922,2024-01-28,11558,Other,None,29160,Yes
D002985,L047692,C047692,2021-09-06,39990,Other,None,43025,Yes
D002986,L026824,C026824,2023-04-10,86770,Other,Partial,0,No
D002987,L073557,C073557,2023-05-10,65892,Business Failure,None,0,No
D002988,L042878,C042878,2022-07-27,12813,Job Loss,Partial,21441,No
D002989,L022802,C022802,2023-01-13,24387,Business Failure,Partial,16775,No
D002990,L053465,C053465,2024-06-23,74651,Other,Full,0,No
D002991,L007092,C007092,2023-06-16,62433,Other,Full,0,Yes
D002992,L005742,C005742,2021-08-05,30229,Business Failure,None,7864,No
D002993,L060940,C060940,2021-01-09,47108,Job Loss,None,6502,No
D002994,L063151,C063151,2024-11-01,78513,Medical Emergency,None,0,No
D002995,L085609,C085609,2022-04-04,65337,Medical Emergency,Partial,25431,No
D002996,L029014,C029014,2024-06-06,19953,Business Failure,None,49389,Yes
D002997,L089684,C089684,2024-08-23,62819,Other,Partial,48498,No
D002998,L086234,C086234,2024-09-16,41003,Medical Emergency,None,0,Yes
D002999,L011809,C011809,2022-05-13,89643,Other,Partial,0,Yes
D003000,L065650,C065650,2023-10-13,50688,Other,None,45259,Yes
D003001,L058193,C058193,2023-11-08,49026,Other,Partial,0,Yes
D003002,L020179,C020179,2021-08-11,78550,Other,Full,0,No
D003003,L033493,C033493,2021-12-18,48753,Business Failure,Full,6009,No
D003004,L006087,C006087,2024-10-05,12161,Job Loss,None,13799,Yes
D003005,L080399,C080399,2022-05-06,50042,Job Loss,None,0,No
D003006,L022877,C022877,2022-08-27,18694,Business Failure,None,0,No
D003007,L021052,C021052,2024-11-06,17720,Business Failure,Full,7656,No
D003008,L070851,C070851,2024-02-18,98237,Other,None,0,Yes
D003009,L070952,C070952,2022-03-01,96035,Business Failure,None,0,No
D003010,L083789,C083789,2022-10-15,9028,Business Failure,None,0,Yes
D003011,L016878,C016878,2022-07-22,9154,Other,Partial,0,No
D003012,L028354,C028354,2023-02-10,61920,Medical Emergency,Partial,45134,Yes
D003013,L041485,C041485,2021-03-04,90979,Other,None,9833,Yes
D003014,L010429,C010429,2024-06-14,59289,Medical Emergency,Full,0,No
D003015,L031194,C031194,2023-05-04,92718,Business Failure,Partial,26415,Yes
D003016,L003588,C003588,2022-12-24,53047,Business Failure,Full,0,Yes
D003017,L063805,C063805,2022-05-02,57214,Medical Emergency,None,46098,Yes
